                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7233,                 4.9306,                 4.1343,                0.00021,                0.01569,                0.00012,                  5e-05,                 3.6827,                 4.1826,                 3.8255,               0.070366,              0.0032927,              0.0032927
                      2,                 3.4678,                 4.4924,                 3.8246,                0.60743,                0.13867,                0.01347,                0.00557,                 3.1684,                 34.102,                 3.6822,               0.040038,               0.006298,               0.006298
                      3,                 3.0184,                 3.8494,                  3.358,                 0.0397,                0.16621,                 0.0152,                0.00457,                 2.6359,                    inf,                  3.613,              0.0093799,              0.0089734,              0.0089734
                      4,                 2.7989,                 3.3642,                 3.0514,                0.08575,                0.38796,                0.07509,                0.03081,                 2.2065,                 7.3399,                 2.5908,               0.008515,               0.008515,               0.008515
                      5,                 2.6249,                 2.9676,                 2.8594,                 0.4355,                0.31084,                0.34902,                0.15316,                  2.015,                 2.2126,                  2.288,                0.00802,                0.00802,                0.00802
                      6,                 2.4996,                 2.8512,                 2.7418,                0.72772,                0.27286,                0.35477,                0.14797,                 2.2697,                 2.2258,                 2.4205,               0.007525,               0.007525,               0.007525
                      7,                 2.4169,                 2.5984,                   2.59,                 0.5975,                0.53055,                 0.5384,                0.22571,                 1.9999,                 2.0277,                  2.171,                0.00703,                0.00703,                0.00703
                      8,                  2.312,                 2.4356,                   2.51,                0.53656,                0.57412,                0.58984,                0.32607,                 1.7039,                 1.7004,                 1.9476,               0.006535,               0.006535,               0.006535
                      9,                 2.2971,                 2.3467,                 2.4685,                0.69525,                0.54962,                0.60018,                0.26031,                 1.9602,                  1.774,                 2.1066,                0.00604,                0.00604,                0.00604
                     10,                 2.1836,                 2.2072,                 2.3595,                0.57632,                 0.4158,                0.45606,                0.24048,                 1.7758,                 1.9868,                 2.0095,               0.005545,               0.005545,               0.005545
                     11,                 2.1836,                 2.1577,                 2.3532,                0.69608,                0.62116,                 0.6714,                0.38557,                 1.6574,                 1.4944,                  1.864,                0.00505,                0.00505,                0.00505
                     12,                 2.1059,                 2.0851,                 2.3012,                  0.812,                0.60116,                0.68365,                0.37085,                 1.6997,                 1.4559,                 1.8659,               0.004555,               0.004555,               0.004555
                     13,                 2.0999,                 2.0597,                 2.2636,                0.80487,                0.62766,                0.72295,                 0.4019,                 1.6439,                 1.4174,                 1.8491,                0.00406,                0.00406,                0.00406
                     14,                  2.055,                 1.9773,                 2.2307,                0.80238,                0.58448,                0.66427,                0.37747,                 1.6505,                 1.4954,                 1.8316,               0.003565,               0.003565,               0.003565
                     15,                 2.0156,                 1.9214,                 2.1883,                0.80119,                0.61736,                0.71708,                0.41117,                 1.6288,                 1.3033,                 1.8052,                0.00307,                0.00307,                0.00307
                     16,                 2.0082,                 1.8583,                 2.1826,                0.81629,                 0.6451,                0.72807,                0.44842,                 1.4972,                 1.2652,                 1.7194,               0.002575,               0.002575,               0.002575
                     17,                 1.9937,                 1.8796,                 2.1683,                0.78817,                0.62677,                0.71731,                0.41138,                 1.5588,                 1.2908,                 1.7538,                0.00208,                0.00208,                0.00208
                     18,                 1.9359,                 1.7814,                 2.1247,                0.80195,                0.65853,                0.76758,                0.47783,                 1.4491,                 1.1674,                 1.6887,               0.001585,               0.001585,               0.001585
                     19,                 1.9356,                  1.787,                 2.1136,                0.85869,                 0.6463,                0.76071,                0.48824,                  1.395,                 1.1792,                 1.6544,                0.00109,                0.00109,                0.00109
                     20,                 1.9037,                 1.7673,                 2.0747,                0.88244,                0.67074,                 0.7707,                0.46589,                 1.4809,                  1.173,                 1.6833,               0.000595,               0.000595,               0.000595
